date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:02:20	6794/6794	---M--	200	added ('OK')	image/png	etag:%225df0d082-1a8a%22	https://cdn.playerzpot.com//images/telegrams-news.png	C:/Users/Real11/Desktop/test/cdn.playerzpot.com/images/telegrams-news.png	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:20	7022/7022	---M--	200	added ('OK')	image/png	etag:%225ef2fdb8-1b6e%22	https://cdn.playerzpot.com//images/walkThrough-1.png	C:/Users/Real11/Desktop/test/cdn.playerzpot.com/images/walkThrough-1.png	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:21	21414/21414	---M--	200	added ('OK')	image/png	etag:%225ef1a24c-53a6%22	https://cdn.playerzpot.com//images/league-mode-view.png	C:/Users/Real11/Desktop/test/cdn.playerzpot.com/images/league-mode-view.png	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:21	15272/15272	---M--	200	added ('OK')	image/png	etag:%225ef1a20b-3ba8%22	https://cdn.playerzpot.com//images/join-pot-view.png	C:/Users/Real11/Desktop/test/cdn.playerzpot.com/images/join-pot-view.png	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:21	18840/18840	---M--	200	added ('OK')	image/png	etag:%225ef1a1c3-4998%22	https://cdn.playerzpot.com//images/view-team-view.png	C:/Users/Real11/Desktop/test/cdn.playerzpot.com/images/view-team-view.png	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:22	18858/18858	---M--	200	added ('OK')	image/png	etag:%225ef1a22b-49aa%22	https://cdn.playerzpot.com//images/tournament-view.png	C:/Users/Real11/Desktop/test/cdn.playerzpot.com/images/tournament-view.png	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:22	95564/95564	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Feb%202021%2010:32:21%20GMT	https://playerzpot.com/fantasy-football-app-download	C:/Users/Real11/Desktop/test/playerzpot.com/fantasy-football-app-download.html	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:22	20141/20141	---M--	200	added ('OK')	image/png	etag:%225ef1a19d-4ead%22	https://cdn.playerzpot.com//images/weekly-task-view.png	C:/Users/Real11/Desktop/test/cdn.playerzpot.com/images/weekly-task-view.png	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:22	351001/351001	---M--	200	added ('OK')	image/jpeg	etag:%225f5743c4-55b19%22	https://playerzpot.com/desktop_assets/img/updated-banners.jpg	C:/Users/Real11/Desktop/test/playerzpot.com/desktop_assets/img/updated-banners.jpg	(from https://playerzpot.com/desktop_assets/css/playerzpot.min.css?v=3.4.0)
16:02:22	98285/98285	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Feb%202021%2010:32:21%20GMT	https://playerzpot.com/fantasy-kabaddi-app-download	C:/Users/Real11/Desktop/test/playerzpot.com/fantasy-kabaddi-app-download.html	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:23	98696/98696	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Feb%202021%2010:32:21%20GMT	https://playerzpot.com/fantasy-hockey-app-download	C:/Users/Real11/Desktop/test/playerzpot.com/fantasy-hockey-app-download.html	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:23	97938/97938	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Feb%202021%2010:32:23%20GMT	https://playerzpot.com/fantasy-basketball-app-download	C:/Users/Real11/Desktop/test/playerzpot.com/fantasy-basketball-app-download.html	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:24	4081/4081	---M--	200	added ('OK')	image/png	etag:%225f0e9788-ff1%22	https://cdn.playerzpot.com//images/adnan-khan.png	C:/Users/Real11/Desktop/test/cdn.playerzpot.com/images/adnan-khan.png	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:24	4036/4036	---M--	200	added ('OK')	image/png	etag:%225f0e97b1-fc4%22	https://cdn.playerzpot.com//images/Rajat-Ahluwalia.png	C:/Users/Real11/Desktop/test/cdn.playerzpot.com/images/Rajat-Ahluwalia.png	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:24	3893/3893	---M--	200	added ('OK')	image/png	etag:%225ca6f671-f35%22	https://cdn.playerzpot.com//images/Arun-Reddy.png	C:/Users/Real11/Desktop/test/cdn.playerzpot.com/images/Arun-Reddy.png	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:24	3306/3306	---M--	200	added ('OK')	image/png	etag:%225ca6f656-cea%22	https://cdn.playerzpot.com//images/Dileep-KM.png	C:/Users/Real11/Desktop/test/cdn.playerzpot.com/images/Dileep-KM.png	(from https://playerzpot.com/fantasy-sports-app-download)
